file, node, defect, ratio, # of sides
I_6_C001H001S0001000001.tif, 3957, 1.059395e-01, 6.466015e-01, 5.921666e+00 
I_7_C001H001S0001000001.tif, 3758, 9.102283e-02, 6.434231e-01, 5.912500e+00 
I_8_C001H001S0001000001.tif, 4014, 1.064073e-01, 6.505004e-01, 5.857692e+00 
I_9_C001H001S0001000001.tif, 6074, 1.168766e-01, 6.613777e-01, 5.889814e+00 
J_10_C001H001S0001000001.tif, 5223, 9.368014e-02, 6.462480e-01, 5.946334e+00 
J_1_C001H001S0001000001.tif, 5082, 9.082367e-02, 6.451245e-01, 5.909196e+00 
J_2_C001H001S0001000001.tif, 5876, 8.744274e-02, 6.522842e-01, 5.933043e+00 
J_3_C001H001S0001000001.tif, 3583, 9.556012e-02, 6.486845e-01, 5.905125e+00 
J_4_C001H001S0001000001.tif, 4205, 7.584347e-02, 6.498696e-01, 5.926203e+00 
J_5_C001H001S0001000001.tif, 5523, 8.235640e-02, 6.591353e-01, 5.915603e+00 
J_6_C001H001S0001000001.tif, 8394, 9.889966e-02, 6.625194e-01, 5.887885e+00 
J_7_C001H001S0001000001.tif, 6108, 1.058559e-01, 6.509558e-01, 5.904092e+00 
J_8_C001H001S0001000001.tif, 7607, 1.043872e-01, 6.598676e-01, 5.855513e+00 
J_9_C001H001S0001000001.tif, 9892, 1.015107e-01, 6.683854e-01, 5.867814e+00 
K_1_C001H001S0001000001.tif, 6547, 8.629342e-02, 6.550952e-01, 5.948718e+00 
K_2_C001H001S0001000001.tif, 6956, 1.112509e-01, 6.600195e-01, 5.901262e+00 
K_3_C001H001S0001000001.tif, 4885, 8.679006e-02, 6.537911e-01, 5.906400e+00 
K_4_C001H001S0001000001.tif, 10524, 9.447436e-02, 6.606805e-01, 5.945997e+00 
K_5_C001H001S0001000001.tif, 7637, 9.663863e-02, 6.639131e-01, 5.891437e+00 
K_6_C001H001S0001000001.tif, 5800, 9.143216e-02, 6.599179e-01, 5.921542e+00 
K_7_C001H001S0001000001.tif, 7629, 1.027111e-01, 6.601086e-01, 5.883401e+00 
