Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310708,4398.94002668502,-10
1310551,4730.48852285988,-81
1309645,5699.35062501348,-58
1307957,6336.22050368278,-41
1306004,7042.57978815064,-113
1303544,8466.6519505107,-183
1300263,9976.75592494914,-150
1296720,10934.7831307215,-117
1293412,11490.7964668069,-81
1290566,11858.5087799856,-93
1288118,12231.8931015753,-119
1285990,12620.1441717406,-127
1284185,12989.917248482,-99
1282486,13303.4179351816,-106
1280876,13653.0006974708,-114
1279281,13980.0437224982,-97
1277815,14265.8649039288,-102
1276452,14511.5027976854,-97
1275207,14701.8048008675,-101
1274067,14825.1872822546,-92
1273039,14978.9702542179,-93
1272097,15163.2653498155,-105
1271141,15321.8165272882,-108
1270151,15513.9656045198,-90
1269204,15654.2457064015,-86
1268299,15754.8352927672,-97
1267447,15832.3297815037,-86
1266694,15918.0199227281,-93
1265959,16012.388911996,-108
1265284,16142.6099390574,-115
1264632,16260.1366141639,-120
1264000,16386.7954412256,-118
1263406,16496.5076029442,-106
1262772,16601.007831844,-103
1262197,16709.7998423781,-114
1261625,16797.5997920138,-126
1261090,16880.592067894,-136
1260538,16995.644143772,-166
1259957,17176.2422863487,-161
1259411,17260.7658903097,-155
1258896,17383.6719478216,-159
1258366,17515.2732016599,-159
1257856,17604.5650111301,-171
1257355,17680.1239127226,-170
1256878,17747.6219148482,-170
1256434,17830.7652920324,-177
1256003,17942.50832567,-189
1255583,18038.5828642858,-187
1255153,18136.9346608996,-184
1254681,18314.6770651478,-192
1254152,18447.3726914377,-197
1253605,18644.6152967497,-206
1253065,18795.1613912845,-209
1252505,18955.4181181051,-217
1251920,19122.243884558,-209
1251359,19259.2871090111,-217
1250812,19388.9527757053,-215
1250270,19559.8008177501,-220
1249749,19686.2132587329,-217
1249253,19786.2311364485,-224
1248714,19899.8308207379,-232
1248186,20013.9069289025,-238
1247672,20104.7137181706,-233
1247153,20218.3528707062,-218
1246637,20308.0652875226,-229
1246179,20398.6978555235,-233
1245723,20488.8145314033,-240
1245318,20596.3610681817,-243
1244885,20673.2049117759,-236
1244493,20795.5950771667,-224
1244048,20908.1956737794,-236
1243624,21020.8752068844,-232
1243233,21119.1711869693,-234
1242864,21254.6041468495,-233
1242452,21379.9058670977,-231
1242047,21476.4568295886,-226
1241663,21560.5203579573,-233
1241289,21656.1742892269,-238
1240903,21769.3302462069,-247
1240532,21875.4407396797,-242
1240152,22019.7036489073,-249
1239773,22161.0386549946,-255
1239423,22257.2642949143,-263
1239054,22360.3121322257,-277
1238594,22492.5476829234,-276
1238164,22693.0829821929,-293
1237741,22799.8999373368,-295
1237330,22932.8419497058,-280
1236914,23128.8785495082,-290
1236505,23270.9758337957,-268
1236103,23379.6330913086,-267
1235706,23509.5519157622,-248
1235292,23624.4692386191,-247
1234898,23755.6893533573,-236
1234497,23856.8737683363,-229
1234099,23962.2546801746,-233
1233702,24074.6252389912,-229
1233291,24154.6664917679,-219
1232921,24269.1468589958,-214
1232534,24369.8548500998,-212
1232183,24439.8601480195,-203
1231811,24575.0072535747,-210
1231452,24655.4132971686,-211
1231067,24754.2251693746,-210
1230722,24841.1049678258,-200
1230403,24939.1314418684,-200
1230053,25028.7880421559,-192
1229720,25127.353528283,-178
1229356,25257.7882448578,-159
1228999,25366.4455023708,-155
1228665,25472.8813184146,-160
1228345,25566.520726048,-147
1228033,25665.5231678041,-135
1227726,25746.6751413153,-126
1227422,25825.4151038075,-115
1227099,25934.4929686666,-122
1226775,26024.7443975675,-117
1226426,26158.931883692,-121
1226093,26234.7602913267,-104
1225747,26371.9940853298,-110
1225387,26495.169648884,-103
1225064,26585.3652612559,-89
1224672,26709.8257668118,-101
1224316,26855.6200041202,-80
1223928,27017.0827364503,-81
1223541,27127.366606819,-83
1223140,27314.2479347029,-81
1222709,27492.5851675645,-90
1222277,27637.2686841382,-84
1221794,27824.5869676511,-72
1221276,27964.0422031233,-62
1220775,28176.4142913727,-73
1220241,28396.505608235,-70
1219706,28534.0647248093,-74
1219162,28747.8565080816,-71
1218575,28919.8710873899,-67
1217990,29068.9416703729,-47
1217421,29213.9899777639,-38
1216882,29369.9154547041,-36
1216344,29516.4556219297,-25
1215785,29608.4684167074,-24
1215187,29694.1585579318,-11
1214655,29813.3676624229,4
1214093,29943.3028351594,15
1213548,30091.492735204,15
1213008,30240.5238499409,20
1212478,30339.6215764719,34
1211937,30463.7499877763,43
1211439,30605.2360951675,57
1210940,30732.9498264349,79
1210448,30806.3825713332,88
1209972,30895.6743808035,99
1209463,31011.1865322737,107
1208977,31101.2637399074,116
1208496,31162.7085945219,136
1208016,31279.0850806478,144
1207536,31402.3164607309,144
1207059,31500.8982951408,163
1206553,31663.6065012266,169
1206064,31808.9406629426,184
1205588,31950.219852501,193
1205079,32046.0807016035,202
1204575,32189.2328900966,223
1204077,32260.2305040126,231
1203554,32393.9579145449,246
1203003,32521.5368927911,246
1202477,32633.4704959788,247
1201917,32707.6328225116,253
1201371,32775.3608624334,273
1200801,32892.8480692937,292
1200231,32984.7819275792,304
1199678,33090.9087693348,302
1199144,33133.7341058239,301
1198582,33245.0007155865,322
1198008,33342.8760883252,332
1197414,33461.1881615951,344
1196847,33530.0990870631,371
1196295,33604.4914513921,367
1195738,33679.8597834345,378
1195104,33725.46192176,378
1194519,33810.9451451515,395
1193894,33883.4182706193,403
1193267,34026.9747181757,433
1192677,34061.6044021769,455
1192066,34143.9460329149,486
1191436,34261.3379550003,494
1190752,34300.9264140608,506
1190102,34384.2998290411,518
1189464,34417.802444025,546
1188817,34458.025199945,578
1188145,34515.8751579942,627
1187433,34547.6722236301,656
1186681,34556.4300081658,696
1185910,34567.0607916361,740
1185147,34580.5241934717,774
1184344,34599.7548884933,779
1183566,34570.0118147397,826
1182739,34516.3651252302,838
1181916,34433.6260071093,880
1181112,34440.1228819298,915
1180247,34313.956827026,955
1179296,34205.7991133514,962
1178394,34058.7430540046,975
1177475,33907.4279095892,973
1176595,33801.4916373837,977
1175737,33605.5339740734,970
1174877,33442.4119323219,1001
1173971,33277.3475317459,1011
1173068,33091.6953293349,1026
1172234,32927.4557951684,1033
1171373,32706.8254662216,1035
1170577,32488.170192665,1040
1169745,32239.8113136009,1029
1168956,32003.6703626167,1028
1168182,31801.4131657165,1035
1167436,31625.487943874,1022
1166699,31456.1317616638,1000
1166021,31318.3426072934,971
1165321,31178.1019736578,956
1164643,31087.5252221858,929
1164012,30954.3137037747,911
1163410,30924.0152696538,896
1162854,30864.3712491621,867
1162233,30796.3573549153,841
1161617,30796.7779622615,813
1161047,30784.3858129143,794
1160478,30772.8579982228,799
1159875,30790.4226121426,781
1159289,30782.3385927125,768
1158731,30794.1195651634,731
1158196,30883.1255203086,703
1157647,30975.6215106419,676
1157050,31027.8716250918,635
1156422,31157.0281713453,590
1155791,31403.8230257631,562
1155137,31672.3722192794,510
1154496,31921.0006043857,430
1153811,32187.0588503908,346
1153117,32549.444792771,265
1152329,33106.0106843018,100
1151515,33850.6080926972,-76
1150615,34723.7209788062,-335
1149582,35837.654508314,-610
1148335,37520.8877495539,-1069
1146842,39748.5084224907,-1613
1145081,42597.1534528859,-2365
1142986,46161.1061218346,-3228
1140236,51191.7234469145,-4458
1136965,57132.9227321504,-5852
1132578,65361.3635908514,-7657
1127121,75597.6100833497,-9773
1120361,88155.9510994301,-12132
1112136,103331.025388346,-14791
1101767,122143.885383414,-17878
0,0,0
