Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310702,4411.56221382829,-13
1310557,4649.94772624483,-41
1310013,5233.40095320075,-77
1308874,6182.54916477721,-125
1307140,7412.31339664601,-183
1304516,9062.20470080826,-242
1301303,10375.1055381808,-191
1297939,11434.9841523572,-196
1294526,12704.5601094022,-236
1291357,13586.2525920211,-259
1288339,14542.6695332205,-258
1285490,15421.4967009084,-270
1282820,16251.0969420618,-308
1280203,17132.3034242032,-320
1277568,18161.2002625508,-350
1274928,19146.1706202771,-393
1272439,19988.1861307409,-403
1270038,20794.3264834477,-404
1267700,21521.3062663163,-403
1265435,22237.5763292224,-398
1263362,22813.4315372256,-413
1261368,23439.0758038112,-407
1259333,23996.5319548828,-388
1257310,24485.0704088059,-383
1255301,24929.7912102436,-378
1253470,25458.6477048618,-400
1251682,25852.5476634748,-413
1250108,26291.889082507,-428
1248487,26693.1502505961,-435
1246949,27151.5413717023,-457
1245453,27608.0594938738,-476
1243933,27980.4188029016,-495
1242501,28463.2362035653,-509
1241037,28932.3601645972,-520
1239627,29348.6391825659,-533
1238322,29709.3522721638,-531
1236990,30202.7215198056,-537
1235624,30666.863585815,-583
1234267,31061.3420247585,-590
1232887,31531.918377379,-587
1231581,31904.1198134224,-616
1230270,32324.135252658,-649
1228992,32806.4367612005,-691
1227721,33340.8440545695,-728
1226517,33791.062643151,-732
1225294,34240.0752262229,-759
1224116,34732.1431835801,-790
1222880,35298.4918722085,-839
1221570,35896.1544309173,-878
1220152,36535.4363206057,-919
1218692,37209.2920777664,-962
1217171,37862.8227674538,-980
1215600,38586.454039836,-1014
1213989,39287.7756127523,-1034
1212398,39932.7785557002,-1044
1210835,40598.9083125675,-1067
1209194,41233.0735542122,-1098
1207598,41901.9637646331,-1094
1205934,42650.9019995112,-1093
1204339,43218.3382889108,-1078
1202772,43793.0106113678,-1098
1201210,44336.9080758288,-1078
1199734,44856.4581972245,-1092
1198202,45352.0652346182,-1096
1196703,45916.8200069565,-1096
1195271,46414.6090175732,-1108
1193937,46848.3573646866,-1108
1192563,47376.5305175968,-1098
1191178,47839.6013311177,-1077
1189858,48325.3629832045,-1074
1188537,48779.2390565608,-1079
1187236,49220.3581897526,-1105
1185963,49750.7296641687,-1110
1184636,50231.0561173211,-1113
1183329,50721.7043796554,-1117
1182061,51171.9229682369,-1104
1180793,51627.1003318778,-1102
1179475,52062.856430947,-1093
1178289,52447.2825667507,-1088
1177059,52849.1385634532,-1098
1175788,53281.4835638266,-1084
1174520,53701.857022199,-1087
1173282,54173.3140577579,-1058
1172021,54604.0555652388,-1075
1170708,55062.4303380622,-1062
1169365,55570.8963720757,-1054
1167995,56001.0199309801,-1029
1166648,56458.172350011,-1014
1165238,56886.4556065463,-1008
1163897,57181.2809585915,-995
1162545,57564.6916584358,-963
1161117,58018.0681879537,-951
1159656,58434.0776998801,-941
1158283,58795.4019663743,-908
1156964,59126.1188244592,-894
1155623,59441.1903074855,-881
1154300,59748.6541949568,-868
1153005,60049.302656717,-842
1151811,60346.4052667602,-823
1150587,60620.9450195782,-821
1149406,60955.2471976261,-816
1148225,61168.5721336257,-796
1147054,61476.4797484064,-789
1145870,61800.9923576763,-778
1144729,62115.2226260104,-756
1143585,62411.4840213613,-768
1142412,62687.8477282655,-755
1141185,62964.1719669236,-729
1140012,63230.292801138,-675
1138877,63511.3457770593,-655
1137648,63797.4759327782,-644
1136507,64053.7051417591,-633
1135368,64297.0099609889,-607
1134196,64560.9747468655,-594
1133096,64770.5305650324,-569
1131978,65031.4558147109,-559
1130853,65309.6925205498,-553
1129746,65566.0237859862,-534
1128707,65810.3767377411,-509
1127569,66069.4058685216,-492
1126445,66300.0326840792,-468
1125300,66511.5077411074,-443
1124100,66778.867277397,-416
1122928,67134.4310223856,-388
1121718,67450.8990804715,-384
1120391,67851.8907425183,-355
1119054,68221.361616652,-322
1117578,68617.687129645,-311
1116029,69025.1920147952,-331
1114447,69407.1897912971,-320
1112801,69916.8618308202,-317
1111025,70343.8669170342,-305
1109225,70787.3027764702,-298
1107354,71309.4227818693,-276
1105435,71762.9340644084,-260
1103534,72268.5607083762,-207
1101663,72709.0917846352,-186
1099664,73211.2188168126,-163
1097656,73617.5340447361,-116
1095606,74060.6513532814,-62
1093739,74448.0448604715,-21
1091633,74865.6415170076,73
1089704,75212.1058066065,141
1087754,75462.028710317,154
1085789,75775.3946439954,225
1083894,76016.3038004889,277
1082084,76232.6519244037,332
1080187,76417.8440512226,366
1078326,76605.2412712277,439
1076454,76738.0321822926,464
1074556,76904.9137652744,469
1072650,77086.6620968318,541
1070734,77267.4113407124,618
1068772,77487.9232649209,682
1066833,77519.2371350013,709
1064875,77673.0595752108,742
1062887,77756.9883505583,787
1060906,77914.3008259559,851
1058919,78039.2608753501,929
1056881,78175.4860050742,988
1054793,78291.2186177382,1039
1052739,78352.0754154199,1105
1050557,78391.8380957476,1182
1048414,78391.2663870976,1256
1046257,78304.3538920808,1298
1044047,78186.2555083242,1356
1041859,78044.332445304,1448
1039673,77813.505483594,1514
1037517,77554.5389410229,1563
1035406,77344.1977246925,1561
1033352,77189.938328854,1591
1031310,76946.3081870531,1633
1029299,76616.6163415301,1682
1027168,76344.8697388313,1718
1025190,76127.9758311515,1731
1023279,75789.4213397154,1786
1021417,75485.7987348884,1796
1019538,75068.6458056618,1871
1017736,74680.9365525029,1888
1015961,74290.6873069841,1925
1014214,73817.747988193,1950
1012541,73455.1714762628,1966
1010920,73083.7650149852,1958
1009292,72686.1613316708,1957
1007678,72279.8393320669,1968
1006141,71933.1055364257,1983
1004696,71640.1763032785,1992
1003201,71308.2697879668,2002
1001735,70984.2499508548,2010
1000286,70700.380704851,2021
998782,70374.6226218254,2048
997386,70039.3213561008,2033
995919,69688.9069557216,2053
994538,69378.9684690218,2050
993137,69100.3275041196,2076
991652,68744.2151704442,2089
990251,68412.9198320287,2111
988785,68000.8700074849,2098
987409,67665.2434191891,2112
986015,67346.3402301208,2143
984600,67085.2244108923,2153
983234,66825.6399197445,2174
981815,66521.2223401518,2201
980377,66146.3162670838,2208
978994,65739.882634422,2224
977621,65430.5553246184,2233
976252,65113.0949505363,2252
974954,64789.2329864086,2276
973640,64481.4370046857,2294
972412,64127.1187334528,2291
971172,63755.7517404212,2283
969897,63459.7530794321,2281
968618,63171.798969627,2259
967299,62891.531391869,2265
966106,62587.8433939108,2274
965007,62290.6223791293,2253
963808,61972.0281643493,2244
962605,61654.147182921,2250
961491,61413.4911841869,2247
960344,61168.1949612842,2240
959270,60886.5240367862,2231
958143,60642.7427936814,2238
957027,60466.2458631889,2241
955938,60220.7985389822,2250
954894,60059.0730722903,2261
953769,59889.1288331471,2279
952713,59673.6151522441,2264
951669,59498.5773850206,2270
950602,59327.2529191007,2249
949494,59248.4639117601,2250
948398,59004.4526308591,2229
947246,58915.6440169444,2220
946093,58833.3649744158,2207
944932,58758.8446287462,2199
943828,58713.4099400074,2159
942613,58685.6024533978,2128
941353,58601.1577859291,2126
940144,58622.4655927963,2137
938853,58655.1828096167,2124
937527,58695.5008503118,2087
936147,58779.6269668899,2035
934800,58998.4795816769,1944
933373,59211.1674158951,1842
931858,59654.3146160842,1691
930239,60267.2944223585,1485
928488,61187.9518056175,1153
926566,62689.2365691475,706
924441,64550.4326758293,110
921820,67337.7512563483,-731
918739,71368.399527027,-1805
915034,76720.3455955553,-3158
910581,83643.8049916491,-4851
904990,92945.5890281988,-6953
0,0,0
