Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310714,4383.63632248041,-5
1310615,4551.19167056771,-25
1310150,5025.24171009337,-37
1309161,5893.43528938909,-131
1306871,7788.15316425946,-180
1303374,9252.34602608406,-66
1299854,9936.74008686197,-54
1296748,10488.5078812398,-94
1293988,11058.2704734858,-122
1291600,11604.1756899026,-118
1289543,12094.2685918697,-122
1287761,12524.0042399935,-125
1286133,12905.2887831437,-118
1284665,13314.959293234,-159
1283247,13731.2383112027,-165
1281876,14172.3179761485,-169
1280609,14562.5277534211,-161
1279311,14922.8202356729,-183
1278167,15210.0611121264,-192
1277047,15505.139621931,-193
1276053,15734.3630907485,-205
1275153,15957.0569881799,-199
1274171,16251.02477725,-211
1273261,16490.5931752128,-217
1272375,16682.2427086061,-212
1271491,16848.6478677127,-211
1270736,17001.4317519994,-205
1269994,17078.9820572648,-202
1269276,17221.2535628195,-219
1268600,17405.1443993537,-228
1267968,17592.0978920494,-235
1267354,17800.0665656067,-244
1266764,17982.2749727563,-240
1266196,18121.4443539035,-257
1265616,18266.0884022312,-277
1265076,18393.4209943985,-270
1264559,18567.5617304008,-271
1264046,18713.9902645686,-294
1263524,18853.8892273502,-283
1262988,19021.7698980087,-275
1262487,19139.5429591941,-273
1262021,19265.5906093596,-272
1261574,19407.8621149143,-285
1261116,19547.6821412037,-290
1260683,19691.3338735352,-287
1260250,19832.7805126803,-306
1259839,19922.3418281928,-307
1259411,20064.1927264013,-306
1258957,20192.1528437476,-314
1258555,20318.5652847304,-321
1258100,20488.802149879,-316
1257635,20645.6872462499,-326
1257184,20817.2648699292,-312
1256677,20996.9823295675,-314
1256154,21201.9999800213,-306
1255618,21375.8548616986,-324
1255097,21516.8019570054,-317
1254620,21644.9035990533,-303
1254161,21783.9776954255,-297
1253675,21893.1113768135,-293
1253234,21990.6777752639,-279
1252750,22099.2397480018,-270
1252320,22194.1246293909,-285
1251884,22259.5686396342,-273
1251504,22330.2082344134,-268
1251077,22434.0578181709,-258
1250679,22551.8308793563,-261
1250279,22637.7510583769,-265
1249888,22717.6575581325,-269
1249512,22783.6963969891,-276
1249183,22820.9681298056,-277
1248826,22884.3254516009,-270
1248470,22932.822796501,-258
1248118,23028.0724687073,-256
1247804,23127.9950616479,-255
1247478,23198.595188181,-241
1247140,23301.4688042252,-242
1246815,23386.0318764322,-224
1246473,23468.4687919452,-221
1246145,23536.387401417,-224
1245880,23576.991296437,-215
1245517,23677.699287541,-215
1245218,23724.5863678683,-210
1244883,23820.0660778707,-205
1244561,23860.5746881158,-197
1244227,23956.4191889354,-178
1243898,24045.3856758345,-192
1243534,24148.3545766537,-196
1243203,24205.0870422879,-186
1242863,24305.5486473129,-170
1242512,24372.3565360501,-165
1242187,24468.8516820121,-179
1241851,24506.2186996035,-181
1241537,24572.8128988275,-169
1241248,24597.0023689084,-165
1240916,24626.459588337,-160
1240612,24664.6514723379,-162
1240309,24744.8832946647,-160
1240031,24808.1684516482,-154
1239727,24843.2745595245,-149
1239456,24851.3749272375,-137
1239194,24903.5134086295,-120
1238937,24939.0237755692,-131
1238670,24989.6078089173,-131
1238412,24992.2498577325,-118
1238136,25026.0941435703,-121
1237874,25059.1530312448,-116
1237601,25108.3010212872,-91
1237366,25125.7308821859,-80
1237111,25156.6636131662,-85
1236891,25212.761781941,-77
1236647,25254.920125005,-64
1236380,25281.6005425972,-52
1236157,25313.0886339449,-49
1235901,25363.577382518,-38
1235629,25407.6481927628,-32
1235394,25429.0050444784,-27
1235134,25463.3094059085,-30
1234926,25482.0010888457,-22
1234706,25509.5063728474,-12
1234466,25523.2950972541,-14
1234236,25554.5136825595,-7
1233990,25621.2262865217,5
1233731,25683.3217862786,2
1233453,25752.1605469349,12
1233208,25807.6870070595,26
1232946,25845.7441380394,33
1232638,25938.3122931843,34
1232339,26006.9768325734,43
1232035,26065.5496005766,51
1231696,26161.219880129,48
1231406,26210.7326609887,69
1231081,26284.7044179715,80
1230728,26350.036795157,89
1230379,26428.7767576491,110
1229987,26512.72865296,138
1229597,26583.7493868392,151
1229231,26628.9145695358,170
1228879,26655.4602341069,189
1228501,26710.257112597,204
1228134,26713.6450913296,218
1227777,26740.3649771679,226
1227455,26794.2811727196,236
1227101,26787.7516013335,242
1226797,26809.1642695781,256
1226493,26807.4981884763,264
1226185,26787.6168483124,271
1225889,26793.9395018657,291
1225573,26786.736165374,301
1225280,26786.0065837395,313
1224987,26803.111122067,331
1224703,26815.7727774564,351
1224406,26824.1984677405,358
1224139,26834.0602013302,360
1223873,26879.3370170846,369
1223631,26879.0511627595,385
1223364,26880.8125286364,399
1223088,26901.4792669636,398
1222824,26929.0798357404,405
1222551,26959.0760672534,421
1222265,26954.1336404769,434
1221992,26963.0030580704,458
1221715,26995.4344205658,484
1221445,26970.4364323582,496
1221182,26962.8124885204,507
1220933,27016.156975422,521
1220651,27015.2204759547,535
1220348,27030.4683636304,557
1220052,27052.7617148134,559
1219764,27034.1258484052,575
1219489,27043.3205885698,584
1219237,27025.3748355499,598
1218978,27049.0484135097,603
1218718,27022.9791728137,600
1218456,26995.513357058,608
1218224,26986.9297937896,614
1217954,26973.561676729,631
1217671,26933.9895659513,637
1217416,26899.9710588462,636
1217171,26905.2388081939,655
1216904,26920.9236514985,656
1216645,26878.3841693344,656
1216390,26888.5154089664,667
1216148,26914.1640423163,686
1215910,26922.3433465214,693
1215664,26899.0903759078,689
1215397,26901.4071021519,685
1215132,26917.0755971738,691
1214880,26938.6624866855,711
1214616,26943.5259769699,718
1214359,26968.7703512564,731
1214086,26974.093917133,725
1213796,26990.5083420721,736
1213529,26973.3085189696,727
1213248,26967.8107318258,734
1212950,26956.013411092,756
1212629,26969.5557494198,757
1212310,26967.603813993,786
1211999,26934.1801355013,792
1211685,26900.7401087268,803
1211386,26920.5819806446,806
1211069,26924.1441806443,812
1210720,26952.6254323595,819
1210378,26969.0398572986,820
1210010,26960.5352305224,813
1209641,26956.9893788054,818
1209291,26957.3147013766,817
1208923,26952.5070276212,807
1208528,26915.5211491298,804
1208173,26887.2699352108,810
1207809,26871.73619321,802
1207444,26847.5861913752,816
1207078,26829.8473561882,817
1206700,26825.3486567211,820
1206319,26818.5495792928,852
1205953,26806.7686068418,839
1205557,26803.1900585592,816
1205182,26781.8168585608,805
1204764,26771.9714732538,798
1204376,26767.7749763946,774
1204014,26814.2251010929,758
1203618,26840.2943417889,723
1203194,26932.1165670166,678
1202764,27031.8880586533,632
1202370,27078.2592468593,607
1201962,27210.0741902109,559
1201480,27348.7834957658,482
1201026,27565.3520808744,388
1200543,27839.842788844,291
1200100,28090.1834949787,201
1199619,28345.5224444188,86
1199127,28711.930662391,-23
1198554,29231.0900680843,-183
1197971,29744.8075031627,-358
1197365,30335.5593513853,-542
1196684,31065.0994416551,-758
1195948,31955.6421886627,-1008
1195112,32977.1191960834,-1306
1194192,34146.6908187738,-1667
1193205,35535.9168026974,-2093
1192058,37275.629351812,-2553
1190732,39363.423226779,-3091
1189339,41650.8649463965,-3709
1187686,44405.4065268075,-4407
1185704,47807.0907502213,-5235
1183456,51805.0246090015,-6167
1180764,56648.7335194756,-7208
1177571,62467.0554770066,-8425
1173965,69014.0368418688,-9816
1169414,77287.4973918062,-11392
1164026,86926.7962020326,-13127
1157835,97967.2271450523,-15025
1150167,111342.851222672,-17166
1141102,126709.416010161,-19409
0,0,0
