Area,Perimeter,Euler
1310718,4372.91025423507,-1
1310718,4372.91025423507,-1
1310672,4488.77084823972,-37
1309972,5734.51932109916,-207
1306942,8253.86322167371,-168
1301568,10512.6957082355,-8
1295248,11493.137474851,131
1289422,11828.4646654608,127
1284683,11662.2297608628,116
1281044,11363.6544441896,82
1278320,11211.9677372766,68
1276285,11178.1166797583,48
1274642,11238.9830540423,33
1273228,11314.0818800425,28
1271993,11452.1568887379,15
1270919,11623.7181641344,17
1269844,11803.7609463439,-4
1268787,12020.6712023065,-21
1267840,12171.4242146741,-22
1266919,12373.1886394165,-7
1266128,12478.7370008415,-25
1265343,12646.0064946038,-40
1264645,12737.4081124853,-58
1263947,12954.4925897151,-67
1263260,13104.3091026154,-66
1262601,13229.8013924136,-63
1261952,13354.9288913947,-53
1261338,13486.8949360501,-56
1260778,13554.9088302969,-73
1260255,13672.3171006651,-80
1259755,13799.8797306285,-86
1259254,13925.1419826306,-81
1258831,14042.2643986738,-78
1258347,14148.5259934504,-79
1257893,14283.7125672517,-86
1257446,14431.156537379,-88
1257014,14590.9137203612,-97
1256594,14719.0875272209,-104
1256173,14837.4948852657,-90
1255760,14956.973495799,-77
1255361,15068.2564538444,-81
1254979,15207.3700184627,-88
1254603,15266.1497042987,-84
1254241,15359.0826502609,-82
1253902,15431.864750017,-78
1253552,15487.9465705089,-77
1253243,15608.6706547979,-87
1252897,15745.5791262299,-97
1252545,15855.1170666812,-88
1252200,15987.7568764423,-91
1251872,16130.6232106103,-88
1251452,16285.5958398004,-72
1251077,16433.1909112317,-68
1250687,16532.3281060088,-53
1250270,16677.0905590748,-45
1249866,16782.185616588,-40
1249462,16826.144793775,-36
1249068,16891.1913166354,-33
1248691,16961.2524310841,-33
1248306,17008.9249095747,-13
1247928,17077.0899051254,6
1247545,17161.0581487191,25
1247153,17234.9904374558,35
1246779,17289.1761390498,55
1246415,17346.3292120301,51
1246053,17396.548454561,51
1245701,17421.5233228053,77
1245357,17449.61666374,80
1245064,17471.6799771268,85
1244758,17519.0434813292,93
1244453,17573.8240115365,107
1244172,17582.979283455,121
1243879,17629.501572965,140
1243607,17647.2172881888,148
1243331,17680.4503971304,158
1243083,17710.8835842724,159
1242823,17714.6758220683,170
1242539,17743.3476433335,176
1242271,17757.5569750864,177
1242002,17796.2484029257,187
1241749,17861.8108179073,188
1241490,17857.0984289269,190
1241258,17859.4546234171,187
1241028,17869.204723949,187
