Area,Perimeter,Euler
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310670,4475.59330072918,-18
1310267,4957.78317621385,-48
1309413,5377.16431859,-19
1308620,5617.51811471622,-22
1307878,5845.00333762021,-22
1307173,6015.66081011501,-28
1306552,6207.51726134107,-31
1305917,6415.69285273127,-44
1305322,6617.74313179869,-54
1304733,6834.93924208632,-51
1304155,7038.76723531337,-59
1303528,7240.68276135967,-81
1302903,7523.02067928273,-105
1302246,7839.51185733193,-113
1301570,8113.69359101315,-123
1300874,8463.01361894065,-118
1300162,8781.97939621834,-109
1299417,9030.51249654967,-116
1298705,9278.60186957156,-132
1298002,9524.58820586267,-170
1297257,9829.85377182818,-171
1296571,10059.2678101957,-204
1295868,10359.0750572636,-255
1295211,10645.6489402919,-287
1294567,10938.7918629525,-317
1293866,11395.2378203123,-380
1293145,11916.5560792653,-427
1292383,12464.2689014854,-450
1291645,12961.2398173731,-485
1290842,13586.946672168,-514
1290084,14149.5194712834,-548
1289307,14677.3441816592,-563
1288475,15358.3638070655,-586
1287699,15938.659093085,-598
1286884,16610.2934087766,-609
1286053,17227.2030107898,-635
1285200,17820.3437500683,-628
1284339,18468.3044878001,-645
1283512,19092.0689837706,-678
1282667,19740.8872844776,-694
1281860,20397.1947760014,-719
1281080,21079.341470425,-735
1280340,21657.1390372528,-743
1279552,22258.7054668153,-771
1278711,22914.8455087523,-781
1277846,23560.9495958323,-792
1277012,24174.5828521708,-824
1276177,24781.8049418615,-842
1275317,25507.1812318376,-897
1274409,26296.7233617358,-908
1273472,26936.8069978704,-916
1272529,27650.3628471495,-948
1271590,28343.0613885513,-1005
1270698,28962.8988937048,-1049
1269759,29703.5394196394,-1082
1268796,30439.6023096148,-1104
1267776,31204.7018116726,-1125
1266744,31992.8569431135,-1172
1265743,32732.8468239059,-1198
1264696,33477.6443784537,-1228
1263675,34106.0192069491,-1269
1262636,34757.2889869213,-1305
1261599,35421.9037639908,-1359
1260643,36018.7578045729,-1427
1259673,36652.7324766676,-1477
1258750,37326.755683415,-1500
1257811,38003.729913266,-1560
1256933,38675.0552546693,-1598
1255945,39432.9677685183,-1673
1254966,40213.584664294,-1748
1253991,40959.525636142,-1786
1252960,41816.1778573852,-1869
1251955,42652.2191568301,-1946
1250861,43597.3450928145,-2044
1249803,44486.445024836,-2132
1248667,45468.8032253908,-2226
1247486,46456.4849918222,-2351
1246316,47472.0531813554,-2459
1245099,48533.3024457063,-2530
1243906,49649.3485885473,-2622
1242632,50794.2965904496,-2762
1241347,51971.4295687685,-2845
1240065,53047.9430690778,-2957
1238707,54360.2953177636,-3094
1237307,55695.7657840418,-3218
1235873,56989.9749384771,-3326
1234410,58413.2058861449,-3465
1232862,59801.7840298481,-3568
1231361,61254.669538175,-3714
1229741,62791.6281514728,-3843
1228117,64315.0906663695,-3947
1226547,65797.9819828117,-4079
1224919,67270.8768126431,-4185
1223249,68827.2961587587,-4294
1221629,70419.170055285,-4421
1219905,71999.3419158525,-4512
1218178,73670.0414830436,-4610
1216436,75298.2506129191,-4703
1214632,76996.1397181431,-4827
1212880,78698.0905672053,-4960
1211064,80476.9016081444,-5113
1209288,82229.2228010414,-5245
1207396,84120.079078226,-5415
