Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310716,4378.27328835774,-3
1310704,4400.60610778683,-5
1310670,4456.78321305374,-11
1310613,4519.24350362783,-13
1310564,4560.44222726127,-14
1310499,4617.30944591656,-20
1310453,4658.73820734614,-29
1310403,4710.01235408263,-41
1310344,4789.99779033041,-62
1310284,4885.84229115007,-84
1310216,4994.59483343805,-110
1310133,5145.08511144392,-149
1310045,5312.54517475621,-185
1309930,5543.11617378488,-243
1309802,5773.09234420018,-301
1309669,6010.69245845333,-339
1309509,6312.83955172853,-408
1309340,6656.68491247553,-472
1309170,6960.26804905641,-525
1308974,7316.37080612945,-591
1308774,7694.15573748929,-667
1308551,8111.60806440187,-739
1308317,8539.42166874255,-815
1308065,8979.57160590147,-879
1307779,9502.21427510228,-961
1307488,10038.0344918136,-1049
1307195,10500.6683497056,-1112
1306880,11044.6678706221,-1200
1306565,11572.4598844322,-1290
1306261,12109.1213158359,-1383
1305920,12709.2979420193,-1471
1305621,13207.3468820758,-1551
1305278,13818.1311717663,-1661
1304948,14379.6721866393,-1750
1304594,14986.0135933915,-1834
1304251,15606.7222048811,-1946
1303881,16226.2411591439,-2036
1303490,16865.3161309995,-2129
1303087,17550.2463989399,-2234
1302685,18243.5792372012,-2346
1302243,18969.1297484445,-2437
1301804,19732.1656820177,-2538
1301374,20470.0919943254,-2625
1300899,21241.4188651614,-2728
1300431,21994.8952677527,-2811
1299939,22803.3427701013,-2910
1299422,23628.6647729813,-2987
1298918,24424.6643094538,-3057
1298405,25189.5568936788,-3089
1297897,26000.8764826388,-3175
1297357,26807.7137204145,-3234
1296794,27640.1764715768,-3296
1296258,28409.9652426517,-3346
1295704,29203.1648573246,-3383
1295147,30008.7335013814,-3451
1294583,30817.2137002956,-3517
1294013,31615.4904947661,-3566
1293445,32396.9091369881,-3624
1292838,33209.197921981,-3672
1292244,34001.3589807311,-3736
1291710,34731.8451470705,-3775
1291135,35484.6083163101,-3806
1290500,36320.5148627339,-3846
1289828,37221.4515837352,-3914
1289137,38052.2809503614,-3987
1288467,38928.5844739724,-4035
1287723,39819.1926141113,-4076
1287043,40713.5535238,-4125
1286301,41586.8039678519,-4194
1285589,42465.861173336,-4246
1284812,43417.9863329012,-4303
1283973,44402.0596594062,-4373
1283174,45286.4567790497,-4420
1282334,46208.5067706097,-4483
1281481,47200.3946105026,-4558
1280632,48164.0312364765,-4630
1279735,49172.3661978743,-4713
1278839,50140.9452506247,-4802
1277865,51233.5968981506,-4906
1276865,52395.8563562133,-5015
1275879,53480.7329585974,-5116
1274879,54659.5579429032,-5255
1273851,55803.8485279827,-5379
1272826,56927.2259886561,-5488
1271724,58138.6497850441,-5612
1270612,59344.0272056015,-5761
1269440,60603.8367138317,-5915
1268277,61993.9625338985,-6108
1267115,63218.8660804049,-6227
1265893,64606.3498516564,-6403
1264686,65952.2537601744,-6582
1263401,67427.1726902444,-6736
1262183,68858.8620247618,-6899
1260933,70267.0452309063,-7071
1259643,71640.5824047667,-7224
1258315,73106.9967080603,-7392
1256979,74617.2354355199,-7549
1255589,76205.9609677121,-7738
1254253,77768.2987083177,-7923
1252813,79450.6867681066,-8130
1251344,81169.0058021814,-8334
1249853,82899.2405617282,-8505
1248254,84775.4601281333,-8717
1246684,86625.3409478002,-8871
1245076,88541.6879853503,-9065
1243340,90570.0870308264,-9250
1241518,92726.6531114817,-9477
1239623,94883.353945158,-9695
1237721,97055.9301916891,-9903
1235716,99311.3476127965,-10122
1233577,101797.263868121,-10358
1231379,104323.649265444,-10589
1229160,106781.521224682,-10820
1226928,109312.32638498,-11085
1224520,112045.825697808,-11388
1221972,114865.324126148,-11648
1219457,117672.976188906,-11925
1216749,120587.057296027,-12250
1213972,123616.308883765,-12512
1211112,126748.466784112,-12829
1208077,130208.127785079,-13206
1204873,133872.790088217,-13614
1201508,137664.791755202,-14006
1197972,141753.268507052,-14517
1194164,145983.296759425,-14935
1190087,150763.075477617,-15481
1185612,156005.688199853,-16043
1180689,161760.654478674,-16575
1175399,167936.221448742,-17150
1169749,174595.99281793,-17802
1163504,181890.898624796,-18481
1156875,189523.580296615,-19109
1149705,197854.054037916,-19766
1141881,206541.19547326,-20438
1133605,215854.645363693,-21021
1124380,226149.986607408,-21611
1114622,236445.153629856,-22089
1104094,247753.450905933,-22675
1093002,259265.290320911,-23226
1081096,271400.76625052,-23557
1068057,284346.148845746,-23857
1054120,297899.536123904,-24001
1038867,312876.858006479,-24241
1022380,328959.431765597,-24349
1004332,345840.272742583,-24233
984217,364381.223133373,-23879
961831,384372.016691369,-23340
937116,405180.998275644,-22113
909427,426834.513404615,-20632
878329,449633.661039034,-18679
844078,472158.517630386,-15441
806786,493453.230493855,-11392
766339,512981.649642151,-5934
723513,528620.730762807,1126
677880,538096.374809629,9156
631628,540185.294110529,16996
585027,534953.387141496,24219
539143,523580.462788069,30210
494857,506963.45464886,34487
452276,485451.654021991,37491
412368,461533.899456082,39533
375060,435949.237560777,40520
340159,409628.584940309,40781
308360,383348.92132072,40433
279231,357793.175989675,39787
252643,333148.301278032,38838
228287,309455.48749466,37960
205885,286598.363763277,37031
185437,264559.066072276,35791
166879,243629.242679562,34466
150120,223481.902409879,32717
135009,204463.736785698,30870
121409,186878.739974345,29107
109159,170505.912889298,27171
98107,155334.756695184,25316
88441,141630.314202051,23514
79723,129044.385679306,21838
71946,117650.759086063,20177
64961,107230.551915893,18564
58717,97830.0045707367,17102
53183,89320.3811116885,15804
48233,81633.5655880458,14581
43852,74805.6767387224,13542
39860,68372.7264039348,12499
36303,62613.8849840673,11519
33205,57602.1347250284,10648
30292,52716.9480082762,9758
27738,48403.4566659922,8948
25333,44431.0733508651,8237
23246,40948.6386080815,7601
21401,37811.9154532991,6999
19689,34908.2705933395,6438
18189,32298.4587694289,5901
16815,29901.6533306272,5439
15604,27773.9360974262,5020
14466,25806.7219771248,4635
13422,23984.7140371988,4292
12501,22346.0810416858,3959
11684,20933.6877953213,3684
10928,19660.542866596,3459
10209,18417.0062586033,3213
9596,17388.1815850674,3036
8997,16359.9680884277,2838
8457,15396.4526721139,2635
7979,14573.8516545414,2471
7506,13739.8344553351,2310
7101,13029.4134270291,2167
6690,12340.769857785,2037
6372,11782.5051885867,1930
6053,11232.7846144108,1836
5740,10704.7625628045,1748
5443,10200.7230634462,1682
5176,9721.52367931122,1600
4925,9288.54438207836,1548
4708,8922.94468223283,1499
4496,8550.1811141417,1443
4307,8200.30572584693,1386
4116,7865.54347220674,1339
3922,7531.33657893382,1297
3778,7279.7408224411,1283
3630,7021.63184284507,1260
3477,6765.09365957583,1243
3317,6510.07045610448,1243
3196,6290.70872087669,1222
3073,6066.11870454734,1202
2938,5836.26093887033,1185
2814,5619.12064511162,1165
2689,5395.27655869957,1140
2583,5193.72582347051,1109
2482,5019.58508746816,1099
2387,4848.22115330216,1079
2289,4685.0923398702,1067
2184,4507.77054296816,1051
2068,4308.15539488314,1034
1964,4111.46814993839,1000
1867,3929.39449580988,966
1769,3746.47962698904,938
1677,3584.19202824939,916
1585,3417.46154657158,894
1496,3251.80231738221,863
1412,3094.55243019408,838
1332,2937.20725823094,811
1258,2798.78380700108,782
1177,2643.564791732,758
1100,2486.04539850165,720
1026,2336.5310882092,680
951,2186.04081020333,644
892,2068.79998942191,611
833,1948.03643688684,582
744,1756.72857434758,524
681,1625.10420054607,488
0,0,0
